id;kolor;nazwa;opis;wymagania;komentarz
11;czerwony;Święty;Święty... to zuch, który poznaje życie świętych postaci z dziejów Kościoła. ;"1. Poznał życie wybranego świętego. 
2. Ułożył modlitwę związaną z wybranym świętym.
3. Stara się naśladować wybranego świętego i zachęci do tego inną osobę.
4. Odnalazł ślady świętego w wybranych dziedzinach sztuki. ";"Nazwa sprawności jest uzupełniona o imię świętego, którego dana sprawność dotyczy (np. opiekuna gromady lub patrona zucha).
Ad 2 Trzeba zwrócić uwagę zuchów, iż według nauki Kościoła Katolickiego nie modlimy się do świętych, ale przez modlitwę wyprasza wstawiennictwo u Boga."
12;czerwony;Złote Usta;Złote Usta to zuch, który jest prawdomówny- dotrzymuje danego słowa i nie używa brzydkich słów. ;"1. Nie kłamie.
2. Nie używa brzydkich wyrazów. 
3. Stosownie do sytuacji używa zwrotów grzecznościowych.
4. Dotrzymuje danego słowa. 
5. Nie plotkuje. 
6. Z szacunkiem odnosi się do rozmówcy (nie przerywa, nie przekrzykuje go, nie obraża). ";"Sprawność ta powstała w odpowiedzi na często spotykaną u zuchów postawę nie przyznawania się do kłamstwa, plotkowania.
Przeznaczona jest dla zuchów, które mają problem z prawdomównością. Wymagania są więc często formułowane za pomocą przeczenia, co w założeniu jest środkiem, który pomoże nam oduczać kłamstwa.
Warto przy okazji realizacji tej sprawności zwrócić uwagę na język, jakim zuch wyraża się o starszych (nauczycielach, rodzicach)."
13;Zolty;Astronom;Astronom to zuch, który obserwuje niebo, zna zjawiska astronomiczne. ;"1. Pogłębił swoją wiedzę astronomiczną (np. był w planetarium, obejrzał film, przeczytał książkę o gwiazdach).
2. Zna postać Mikołaja Kopernika i, wie, czego dokonał. Potrafi wymienić kilku wielkich astronomów w historii.
3. Obserwował niebo. Umie wskazać Gwiazdę Polarną i kilka gwiazdozbiorów.
4. Wie, co to jest Układ Słoneczny, Słońce i Księżyc.
5. Korzystał z mapy nieba, przy jej pomocy odszukał gwiazdozbiory.
6. Zna podstawowe terminy astronomiczne (mgławica, orbita, kometa, meteor, lata świetlne, asteroidy itp). ";"Podczas zbiórek warto używać mapy nieba.
Ad 4 We wrześniu 2006 ogłoszono, że Pluton nie jest planetą. "
14;Zolty;Bajarz;Bajarz to zuch, który lubi czytać bajki, umie je opowiadać i odczytywać przesłanie, jakie niosą. ;"1. Czyta baśnie, legendy, bajki- odnalazł w nich przesłanie. 
2. Wymyślił i ciekawie opowiedział wartościową historię, ułożył własną bajkę. 
3. Umie urozmaicić swoją opowieść na kilka sposobów. 
4. Poznał legendy – odszukał w nich element prawdy.
5. Potrafi odnaleźć znaczenie archaizmów używanych w legendach i podaniach. ";"Ad 1 Należy zwrócić zuchom uwagę na różnicę między bajkami, baśniami a legendami (każda legenda zawiera ziarnko prawdy).
Ad 3 Podczas opowiadania bajek używa drobnych rekwizytów, modeluje głos itd."
15;Zolty;Bajtek;Bajtek to zuch, który umie obsługiwać komputer, wykorzystując go nie tylko do zabaw. ;"1. Korzysta z komputera z umiarem, pamiętając o swoim zdrowiu (odpowiednia postawa, odległość, czas).
2. Obsługuje kilka programów użytkowych
3. Wykorzystuje komputer do nauki, korzysta z programów edukacyjnych.
4. Przy pomocy komputera sprawił komuś miłą niespodziankę.
5. Umie obsługiwać urządzenia peryferyjne (drukarka, skaner, nagrywarka itp.). ";"Ad 1 Korzystanie z umiarem oznacza nie zaniedbywanie swoich obowiązków oraz kontaktów z innymi.
Ad 2 Takich jak np. edytor tekstu, program graficzny, odtwarzacz muzyki itd."
16;Zolty;Doświadczalski;Doświadczalski to zuch, który próbuje zrozumieć zjawiska zachodzące w otaczającym go świecie, nie boi się przeprowadzać potrzebnych doświadczeń naukowych. ;"1. Szuka odpowiedzi na pytania dotyczące otaczającego go świata.
2. Przeprowadził w bezpieczny sposób doświadczenie naukowe.
3. Posługuje się przyrządami pomiarowymi. używa fachowego słownictwa związanego z eksperymentem.
4. Odnalazł dorosłego specjalistę, który zweryfikował jego badania.
5. Zna historie kilku wynalazków, postacie znanych wynalazców, badaczy. ";"Ad 1 Dzieci z natury poszukują odpowiedzi na nurtujące je pytania (np. dlaczego morze jest słone, dlaczego żarówka świeci). Trzeba pomóc im w tych poszukiwaniach, pokazać, że wiedzę czerpie się z różnych źródeł (czasopisma, Internet, książki, rozmowy ze specjalistami, wystawy, programy telewizyjne).
Ad 2 Należy zwrócić uwagę na przestrzeganie zasad bezpieczeństwa i higieny podczas wykonywania wszelkiego rodzaju eksperymentów.
Ad 4 Specjalistą w danej dziedzinie może być nauczyciel danego przedmiotu lub rodzic zajmujący się profesjonalnie daną dziedziną."
17;Zolty;Dziennikarz;Dziennikarz to zuch, który pisze krótkie teksty o charakterze informacyjnym, potrafi rzetelnie opisać dane zdarzenie. ;"1. Zna podstawowe formy wypowiedzi dziennikarskiej (artykuł prasowy, fotografia, audycja radiowa, film dokumentalny).
2. Interesuje się ciekawymi wydarzeniami w Polsce, na świecie lub w swoim otoczeniu.
3. Opisał starannie i bez błędów zaobserwowane zdarzenie i opublikował swój tekst (gazetka gromady, gablota, kronika). Pisze starannie i bez błędów.
4. Zebrał informacje dotyczące wybranej osoby i przeprowadził z nią wywiad Napisany tekst oddał do autoryzacji.
5. W swojej pracy wykorzystuje różne sposoby pozyskiwania informacji i materiałów (notuje, nagrywa, fotografuje, szuka w Internecie).";Ad 2 Zuch powinien oglądać programy informacyjne w obecności kogoś, kto będzie na bieżąco tłumaczył zaobserwowane zdarzenia i chronił przed drastycznymi scenami. 
18;Zolty;Etnograf;Etnograf to zuch, który wie, że kulturę polską tworzyli ludzie należący do różnych narodów. Poszerza swoje wiadomości dotyczące wybranej mniejszości narodowej. ;"1. Wie, jaka mniejszość narodowa lub etniczna zamieszkiwała dany teren.
2. Odnalazł znak obecności mniejszości narodowej lub etnicznej i udokumentował go.
3. Nauczył się piosenki lub kilku słów w języku wybranej mniejszości.
4. Poznał zwyczaje lub elementy kultury wybranej mniejszości narodowej.
5. Jeśli to możliwe, nawiązał kontakt z przedstawicielem mniejszości narodowej.";"Jest to sprawność przeznaczona zarówno dla gromad, które działają na terenie zamieszkałym przez mniejszości narodowe lub etniczne, w miejscu, gdzie w przeszłości współistniały kultury, jak też dla tych gromad, które w takim miejscu znajdują się tylko czasowo (jadą na kolonię czy zimowisko). Mniejszość narodowa to grupa obywateli polskich, definiująca siebie jako przynależną do innej niż polska narodowości, która to grupa ma poza Polską kraj – ojczyznę (np. Niemcy, Litwini, Białorusini, Żydzi, Ukraińcy itp.) lub grupa, która nie ma poza Polską kraju – ojczyzny (np. Łemkowie). Dla zuchów należących do mniejszości sugerowane jest zdobywanie sprawności wnuczka/wnuczki ze szczególnym uwzględnieniem niezwykłych korzeni rodzinnych.
Ad 2 Udokumentowała, czyli np. zrobiła zdjęcie, dokładnie przerysowała, opisała."
19;Zolty;Historyk;Historyk to zuch, który poznaje historię Polski. ;"1. Poznał postać ważną dla historii Polski i określił okres, w jakim żyła.
2. Odwiedził miejsce związane z historią Polski. 
3. Wie, jak powstał hymn państwowy, zna legendę o powstaniu godła i państwa polskiego. 
4. Potrafi uporządkować w kolejności najważniejsze wydarzenia z historii Polski.
5. Wie, skąd można czerpać informacje dotyczące historii. ";"Należy spróbować zainteresować dzieci także historią nowszą, zachęcając je do poszukiwań we własnej rodzinie czy okolicy. Jeśli to możliwe, warto odwiedzić z zuchami miejsca takie jak archiwum czy muzeum historyczne.
Ad 4 Zuch (w zależności od wieku!) potrafi uporządkować wydarzenia od początków państwowości do współczesności, takie jak Chrzest Polski, Zjazd Gnieźnieński, koronacja Bolesława Chrobrego, rozbicie dzielnicowe, bitwa pod Grunwaldem, hołd pruski, rozbiory, powstanie listopadowe, powstanie styczniowe, I wojna światowa, II wojna światowa, Powstanie Warszawskie, przełom roku 1989.
Ad 5 Przeprowadził własne poszukiwania, odwiedzając bibliotekę, czytając książki i czasopisma, oglądając programy edukacyjne, słuchając audycji i przeszukując zasoby Internetu oraz rozmawiając ze świadkami wydarzeń."
20;Zolty;Internauta;Internauta to zuch, który umie wyszukać w Internecie potrzebne informacje, wykorzystuje Internet do kontaktu z innymi, omija pułapki związane z siecią. ;"1. Wyszukał w sieci potrzebne informacje na dany temat. Przeniósł je do pamięci komputera.
2. Zna zagrożenia istniejące w sieci (np. wirusy, robaki, itp.). Wie, jak bronić przed nimi komputer.
3. Skontaktował się przez Internet z drużynowym, przybocznym lub zuchem.
4. Wie, co to są prawa autorskie. 
5. Zna zasady bezpiecznego korzystania z Internetu (nie podaje swoich danych, nie otwiera plików z nieznanego źródła, jest ostrożny przy kontaktach z obcymi w sieci itd.). ";Ad 4 Istotne jest uświadomienie zuchowi, że autorzy - twórcy dzieł - posiadają swoje prawa. Nielegalne jest więc np. ściąganie wypracowań z Internetu. 
21;Zolty;Kolekcjoner;Kolekcjoner to zuch, który zbiera przedmioty związane ze swoją pasją. Opiekuje się swoim zbiorem i ciekawie o nim opowiada.;"1. Ma swoją pasję, gromadzi zbiory z nią związane. Starannie je przechowuje. Opisał swoją kolekcję.
2. Zaprezentował swoje eksponaty, ciekawie o nich opowiedział.
3. Zdobywa informacje o kolekcjonowanych rzeczach, czerpiąc wiedzę z różnorodnych źródeł.
4. Używa „narzędzi"" potrzebnych w pracy kolekcjonera.
5. Poszerza swój zbiór o kolejne eksponaty – prowadzi wymianę z innymi zbieraczami.";Ad 5 Przy cennych zbiorach zuchy powinny uzyskać zgodę rodziców na wymianę. 
22;Zolty;Korespondent;Korespondent to zuch, który nawiązuje i utrzymuje kontakt na odległość z drugą osobą. Potrafi zaadresować list, wysłać paczkę. ;"1. Pisze starannie i poprawnie, zna podstawowe zwroty grzecznościowe i urzędowe, wie jak ich użyć.
2. Ułożył kilka tekstów z różnych okazji, napisał je na własnoręcznie wykonanej kartce lub papeterii. 
3. Napisał, poprawnie zaadresował i wysłał różne rodzaje listów. Potrafi obsługiwać pocztę elektroniczną.
4. Załatwił na poczcie sprawę np. nadał paczkę, kupił znaczki.
5. Rozpoczął korespondencję lub odpowiedział na list – stara się podtrzymywać kontakt. ";"Ad 2 Np. imieninowe, urodzinowe, podziękowanie za coś.
Ad 5 Stałość korespondencji jest istotnym czynnikiem zdobycia sprawności. "
23;Zolty;Lingwista;Lingwista to zuch, który umie porozumieć się w języku obcym. ;"1. Napisał krótki tekst w języku obcym.
2. Potrafi powiedzieć w języku obcym kilka zdań o sobie. Rozumie podstawowe zwroty, odpowie na proste pytania.
3. Przeczytał ze zrozumieniem fragment tekstu w języku obcym.
4. Wie, w jakich krajach Używa się języka, którego się uczy.
5. Zna pląs lub piosenkę w języku obcym.";Poziom realizacji wymagań należy dopasować do stopnia zaawansowania w nauce języka obcego. 
24;Zolty;Łamigłowa;Łamigłowa to zuch, który rozwiązuje różnego rodzaju łamigłówki, potrafi tworzyć własne. ;"1. Zna kilka zuchowych szyfrów, umie się nimi posługiwać.
2. Lubi rozwiązywać zadania matematyczne, ortograficzne, przyrodnicze i inne.
3. Poszukuje łamigłówek dla dzieci. 
4. Wymyśla własne rebusy, krzyżówki, łamigłówki lub gry planszowe.
5. Wytłumaczył innym rozwiązanie problemu lub zadania. ";
25;Zolty;Mały Europejczyk;Mały Europejczyk to zuch, który poznaje kraje Europy, ich zwyczaje i kulturę ;"1. Wie, co to jest Unia Europejska i rozpoznaje jej podstawowe symbole.
2. Zna podstawowe zwroty w co najmniej 5 językach europejskich (w tym jeden spoza UE).
3. Zna kilka zwyczajów lub świąt charakterystycznych dla kultury dwóch krajów europejskich, w tym jednego spoza UE.
4. Potrafi wymienić kilku sławnych współczesnych Europejczyków. Potrafi powiedzieć, czym się zajmowali/zajmują, czym się wsławili/czemu są słynni i z jakiego kraju pochodzili/pochodzą. ";"Należy zwrócić uwagę, żeby pojęcia „Europa” nie utożsamiać z Unią Europejską. Kraje nie będące członkami UE są często pomijane w szkolnych konkursach oraz relacjach mediów, a ich kultury są równie ciekawe i warto zainteresować nimi dzieci.
Ad 4 Ważne, by były to postacie mądre i wartościowe. "
26;Zolty;Obieżyświat;Obieżyświat to zuch, który poznaje różnorodność kultur, ludzi i krajów, orientuje się na mapie świata. ;"1. ""Odwiedził” kilka krajów – wie, jak żyją w nich ludzie, jaki mają kolor skóry, mowę, zwyczaje.
2. Wykonał, np. strój, zabawkę, potrawę charakterystyczną dla danego narodu.
3. Poznał podstawowe słowa w języku “odwiedzanych” krajów.
4. „Podróżując”, uczy się pląsów i piosenek związanych tematycznie z odwiedzanymi krajami.
5. Pokazał na mapie kontynenty i oceany. 
6. Wskazał na mapie co najmniej jeden „odwiedzany” kraj, zna jego flagę, godło, stolicę i charakterystyczne punkty geograficzne.";Sprawność przeznaczona jest dla zuchów, które poznają świat, nie wyjeżdżając z własnego kraju. Należy postarać się, aby wiadomości uzyskane przez zuchy wykraczały poza ogólnie znane fakty i stereotypy o poszczególnych państwach oraz ich mieszkańcach. 
27;Zolty;Obserwator;Obserwator to zuch, który jest spostrzegawczy i uważnie obserwuje świat wokół siebie. Potrafi dostrzec rzeczy, których inni nie zauważają. ;"1. Umie obserwować: znalazł nieprawidłowości w ubiorze, rysunkach, swoim otoczeniu.
2. Szczegółowo zapamiętuje sytuacje. Po upływie czasu potrafi je prawidłowo odtworzyć.
3. Odczytał ślady pozostawione na śniegu, miękkim gruncie, w trawie.
4. Ćwiczy zmysły.";Ad 4 Ćwicząc zmysły, np. dotrze do celu z zamkniętymi oczami, po zapachu, dźwięku, odszuka schowaną wiadomość, rozróżnia smaki, rozpoznaje przedmioty po dotyku. 
28;Zolty;Poeta;Poeta to zuch, który pisze wiersze i potrafi rymować. Używa poprawnej polszczyzny oraz interesuje się poezją. ;"1. Stara się poprawnie mówić i pisać po polsku. 
2. Lubi czytać wiersze, ma swojego ulubionego autora.
3. Układa rymowanki, okrzyki, życzenia na dowolne okazje.
4. Zaprezentował swoje wiersze. Umie przyjąć krytykę.
5. Zna postacie polskich poetów piszących dla dzieci i ich twórczość. ";
29;Zolty;Podróżnik;Podróżnik to zuch, który lubi podróżować, wie, dokąd jedzie i co ciekawego można tam zobaczyć. ;"1. Czyta książki podróżnicze. 
2. Poznał postać podróżnika lub badacza. 
3. Wskazał na mapie trasę swojej podróży, zdobył informację o miejscu, które odwiedzi.
4. Podczas pobytu zebrał pamiątki, zdjęcia, informacje. Przedstawił je po powrocie w ciekawej formie.
5. Podróżował przynajmniej trzema różnymi środkami lokomocji. ";"Sprawność przeznaczona jest dla zuchów podróżujących po Polsce i świecie. Ma zachęcić dzieci do świadomego poznawania nowych okolic. Należy zwrócić uwagę, że sprawność zdobywać mogą zarówno dzieci wyjeżdżające z rodzicami na wakacje, jak też uczestnicy zielonych szkół. Wyjazdy nie muszą być zagraniczne.
Ad 2 Zuch może poznać podróżnika osobiście lub za pośrednictwem książek, ew. spotkań z podróżnikami w ramach imprez turystycznych. "
30;Zolty;Przyjaciel Książki;Przyjaciel Książki to zuch, który chętnie czyta książki i potrafi o nie dbać.;"1. Czyta książki, także te, które nie są lekturami szkolnymi.  
2. Potrafi zainteresować książkami innych - opowiedział o ulubionym autorze lub ulubionej książce.
3. Zna kilka książek dla dzieci i ich autorów.

4. Ma swoją biblioteczkę. W razie potrzeby samodzielnie dokona naprawy lub oprawy książki.
5. Odnalazł i wypożyczył z biblioteki potrzebną mu książkę i oddał w terminie, w niezniszczonym stanie. ";
31;Zolty;Regionalna;Regionalna to zuch, który poznał wybrany region Polski. Zna jego najważniejsze legendy, miejsca i zwyczaje. ;"1. Zna zabytki, miejsca pamięci, ciekawostki danego regionu. Odwiedził w nim ważne miejsca.
2. Potrafi wskazać dany region na mapie Polski. 
3. Poznał legendy danego regionu. 
4. Zna regionalne święta. Jeśli to możliwe – wziął udział w ich obchodach, przedstawił zwyczaje z nimi związane. 
5. Zapoznał się z obyczajami danego regionu (np. potrawy, taniec, śpiew, gwara).
6. Wykonał element zdobnictwa lub stroju regionalnego. ";Sprawność można zdobywać zarówno w swoim regionie, jak też poznając region, gdzie się jest na kolonii. Uwzględniając specyfikę danego terenu i jego kultury, można zmodyfikować zadania tak, by pozwalały najpełniej zapoznać się z danym miejscem i jego mieszkańcami (ich historią, kulturą). 
32;Zolty;Strażnik Pamięci Narodowej;Strażnik Pamięci Narodowej to zuch, który kultywuje tradycje narodowe. ;"1. Pamięta o ważnych wydarzeniach w dziejach Polski, wie, jakie święta są z nimi związane.
2. W swojej okolicy wskazał miejsca związane z walką o niepodległość.
3. Zostawił ślad swojej obecności w miejscu pamięci narodowej (np. posprzątał, złożył kwiaty, zapalił znicz).
4. Zna patriotyczne pieśni i wiersze. 
5. Zachęcił innych do obchodów święta narodowego (np. wykonał plakat, zadbał o powieszenie flagi państwowej itp.). ";"Ad 1 Ważne wydarzenia w dziejach Polski to na pewno Odzyskanie Niepodległości i Uchwalenie Konstytucji 3 Maja. Poziom sprawności w dużej mierze zależy od wieku i predyspozycji zucha. Należy o tym pamiętać, decydując o ilości omawianych wydarzeń, odwiedzanych miejsc, pieśni i wierszy.
Ad 2 Warto, by zuch wziął udział w spotkaniach z seniorem, uczestnikiem walk o niepodległość, także z czasu PRL. 
"
33;Zolty;Wskazidroga;Wskazidroga to zuch, który zna swoją najbliższą okolicę i orientuje się w terenie, umiejętnie korzystając z map, planów. ;"1. Posługuje się planem miasta – wskazał drogę do wybranego punktu.
2. W swojej okolicy zna drogę do ważnych miejsc (np. do apteki, biblioteki, sklepu, kościoła, na dworzec).
3. Odwiedził interesujące miejsca w swojej okolicy i zna ciekawostki z nimi związane.
4. Wie, w jaki sposób dotrzeć do własnego domu z różnych miejsc. Potrafi skorzystać z transportu publicznego (sprawdził rozkład jazdy, kupił bilet). Poruszając się po ulicy, pamięta o zasadach bezpieczeństwa. ";Ad 4 W przypadku miejscowości nie posiadających komunikacji wewnętrznej, należy zwrócić uwagę na PKS i PKP. 
34;Zielony;Botanik;Botanik to zuch, który interesuje się botaniką (roślinami). Zna gatunki roślin poszczególnych kontynentów, rozpoznaje charakterystyczne dla nich strefy roślinności. ;"1. Wie, jaki strefy roślinności są charakterystyczne dla danego kontynentu i rozpoznaje charakterystyczne dla nich rośliny (np. Australia – eukaliptus, Afryka – baobab).
2. Umie rozpoznać różne części roślin. Wie, do czego mogą służyć.
3. Szuka informacji i ciekawostek na temat roślin (dotyczących ich budowy i funkcji w przyrodzie).
4. Zna kilka roślin chronionych i wie, dlaczego nie można ich zrywać.
5. Odwiedził miejsce, gdzie można znaleźć ciekawe rośliny. Poznaje różne gatunki roślin, także egzotycznych.";"Ad 1 Chodzi tu o zapoznanie zuchów z pojęciami typu sawanna, dżungla, tajga.
Ad 2 Nazwanie wielu części roślin wcale nie jest oczywiste, np. ziemniak to bulwa, ale marchew to korzeń.
Ad 5 Np. ogród botaniczny, palmiarnię, wystawę roślin. "
35;Zielony;Ekoludek;Ekoludek to zuch, który uczy się chronić środowisko naturalne i oszczędnie korzystać z jego zasobów. ;"1. Zna zagrożenia środowiska i wie, jak z nimi walczyć.
2. Wie, jak i dlaczego segreguje się śmieci. Segregował je w domu, szkole lub harcówce – przynajmniej przez miesiąc.
3. Dba o to, by nie marnować wody, prądu, papieru itd.
4. Zna produkty ekologiczne (papierowe torby, zeszyty makulaturowe) i ich oznaczenia, stara się ich używać.
5. Brał udział np. w sprzątaniu lasu, parku, akcji sadzenia drzewek itp.
6. Propaguje „ekologiczny styl życia” w swoim otoczeniu. ";Ad 4 Staramy się kształcić nawyki ekologiczne od najmłodszych lat, uczymy rozpoznawać, jakie produkty są ekologiczne, których warto używać, aby chronić środowisko. 
